,question,option_a,option_b,option_c,option_d,correct_answer,CorrectAnswerText,explanation
1,What is the main advantage of Delta Lake over Parquet on ADLS/S3?,Data is compressed automatically,Provides ACID transactions and schema enforcement,Runs only on Databricks,Allows only batch workloads,B,Provides ACID transactions and schema enforcement,"Delta adds a transaction log (_delta_log) enabling ACID, schema enforcement, and time travel on top of Parquet files."
2,Which command is used to remove old files no longer needed by Delta after retention period?,REFRESH TABLE,OPTIMIZE,VACUUM,MERGE,C,VACUUM,VACUUM physically removes obsolete files (subject to retention/safety checks).
3,What does OPTIMIZE do in Delta Lake?,Deletes old records,Compacts many small files into fewer larger files,Rebuilds the Spark cluster,Rewrites schema,B,Compacts many small files into fewer larger files,OPTIMIZE compacts small files to improve read performance and reduce file overhead.
4,What does ZORDER BY improve?,Delta schema evolution,Query performance by colocating related data blocks,Streaming checkpointing,Reduces cluster cost,B,Query performance by colocating related data blocks,Z-Ordering clusters data within files to improve data skipping for common filter columns.
5,What happens if you write to Delta with schema mismatch by default?,Auto-fix schema,Fails unless schema evolution enabled,Writes partial columns only,Deletes conflicting columns,B,Fails unless schema evolution enabled,By default Delta enforces schema; mismatches fail unless you enable schema evolution/overwrite options.
6,Which option enables schema evolution for append writes?,"option(""mergeSchema"",""true"")","option(""overwriteSchema"",""true"")","option(""inferSchema"",""true"")","option(""schemaEnforce"",""false"")",A,"option(""mergeSchema"",""true"")","mergeSchema allows adding new columns when appending (where supported), evolving the table schema."
7,"In Delta, which statement is correct about time travel?",Works only on views,Allows querying older versions using version number or timestamp,Requires checkpoint files deleted,Requires ZORDER,B,Allows querying older versions using version number or timestamp,Delta keeps versioned metadata so you can query prior table versions by version or timestamp.
8,How to query Delta table version 10 using SQL?,SELECT * FROM table VERSION=10,SELECT * FROM table VERSION AS OF 10,SELECT * FROM table AT VERSION 10,SELECT * FROM table HISTORY 10,B,SELECT * FROM table VERSION AS OF 10,Delta SQL supports VERSION AS OF (or TIMESTAMP AS OF) for time travel.
9,What is the output of DESCRIBE HISTORY mytable?,Schema only,Cluster events,"Transaction log history (version, operation, user, timestamp)",Storage credentials,C,"Transaction log history (version, operation, user, timestamp)",DESCRIBE HISTORY shows commit history from the Delta transaction log.
10,Delta MERGE supports:,Insert only,Update only,Update + Insert + Delete (when matched conditions),Rename only,C,Update + Insert + Delete (when matched conditions),MERGE INTO implements upsert and can also delete when matched/unmatched conditions are specified.
11,Which is correct about Delta files?,Delta stores data only in .delta extension,Delta stores data in Parquet plus _delta_log transaction metadata,Delta stores data as CSV,Delta stores data in JSON only,B,Delta stores data in Parquet plus _delta_log transaction metadata,Delta tables are Parquet data files plus a transaction log directory (_delta_log).
